,artist,album,reviewauthor,score,releaseyear,reviewdate,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1129,Mono,For My Parents,Jayson Greene,5.4,2012,September 10 2012,Temporary Residence,Rock,0.19126,0.3672,8.4,-9.9542,0.03592,0.46418,0.8358,0.1016,0.05024,92.851
1130,Wasteland,All Versus All,Matthew Murphy,7.6,2006,August 22 2006,Transparent,Rock,0.638,0.889,10.0,-1.874,0.0434,0.000784,0.0,0.5770000000000001,0.373,115.755
1131,Actress,Splazsh,Andy Battaglia,8.3,2010,June 22 2010,Honest Jon's,Electronic,0.638928571,0.551642857,5.0,-11.36028571,0.207735714,0.281818857,0.547405571,0.168407143,0.3377,124.12707140000002
1132,Alaska in Winter,Holiday,Brian Howe,7.8,2008,December 8 2008,Milan,Electronic,0.5435,0.388666667,5.416666667,-12.1885,0.035691667,0.5405833329999999,0.090463758,0.196633333,0.4705,112.53983329999998
1133,Skeletons and the Kings of All Cities,Lucas,Eric Harvey,8.2,2007,July 18 2007,Ghostly,Experimental,0.632285714,0.3681428570000001,5.285714286,-11.03828571,0.0337,0.677428571,0.002994429,0.133685714,0.243071429,95.84785714
1134,Six Organs of Admittance,For Octavio Paz,Johnny Loftus,8.0,2004,June 20 2004,Holy Mountain,Experimental,0.4215,0.1589975,5.0,-18.42425,0.066375,0.727625,0.85675,0.1225375,0.1899875,104.439375
1135,Joey Purp,iiiDrops,kris ex,8.2,2016,June 3 2016,Self-released,Rap,0.5921818179999999,0.792454545,7.636363636,-5.723272727,0.231981818,0.134649091,6.21e-06,0.213572727,0.509636364,113.2633636
1136,Ford & Lopatin,Channel Pressure,Larry Fitzmaurice,7.5,2011,June 3 2011,Software,Electronic,0.459142857,0.7142142859999999,3.142857143,-7.09,0.072942857,0.223315,0.365233429,0.284207143,0.465242857,108.0602857
1137,Jason Boesel,Hustler's Son,Ian Cohen,5.5,2010,January 15 2010,Team Love,Rock,0.549181818,0.463,5.454545455,-11.66227273,0.037536364,0.402181818,0.080618442,0.147772727,0.604,115.4577273
1138,Paranoid London,Paranoid London,Andy Beta,8.2,2015,November 30 2015,Decks,Electronic,0.8072142859999999,0.7909999999999999,6.714285714,-10.77771429,0.058292857,0.084238986,0.805857143,0.111657143,0.554428571,123.5717857
1139,Travis,The Man Who,Brent DiCrescenzo,7.8,2000,April 4 2000,Independiente,Rock,0.3478,0.417375,4.6,-10.1134,0.03144,0.260572,0.052471545,0.21112,0.4254600000000001,134.6636
1140,Lil Durk,Just Cause Y’all Waited,Dean Van Nguyen,7.3,2018,April 5 2018,Only the Family ,Rap,0.7021666670000001,0.6385,5.416666667,-5.99425,0.325,0.1791216669999999,2.42e-07,0.150216667,0.335275,138.4456667
1141,Case Studies,This Is Another Life,Jayson Greene,5.6,2013,June 11 2013,Sacred Bones,Folk/Country,0.498363636,0.3768181820000001,5.6363636360000005,-10.42836364,0.031645455,0.835454545,0.105441455,0.161790909,0.312509091,126.5950909
1142,T-Rextasy,Prehysteria,Nina Corcoran,5.3,2019,January 15 2019,Boogie Agency,Rock,0.4769,0.6575,7.0,-7.6079,0.0782,0.3852,6.74e-07,0.12079,0.684,136.5792
1143,M. Ward,Transfiguration of Vincent,Joe Tangari,8.3,2003,March 26 2003,Merge,Rock,0.5596,0.422733333,4.266666667,-11.7246,0.05116,0.704966667,0.180990873,0.109593333,0.4874,101.9659333
1144,Murs,Murs for President,Nate Patrin,6.8,2008,October 1 2008,Warner Bros.,Rap,0.630933333,0.770733333,7.8,-6.328266667,0.312466667,0.222222867,2.99e-05,0.24076,0.584733333,89.75073333
1145,Colin Self,Siblings,Ruth Saxelby,8.0,2018,October 30 2018,Rvng Intl.,Experimental,0.68,0.1645,3.5,-17.836,0.04175,0.9645,0.8755,0.1054,0.296,131.8955
1146,FIDLAR,Too,Zach Kelly,5.8,2015,September 11 2015,Mom & Pop,Rock,0.466,0.8995,4.833333333,-2.9730000000000003,0.0892,0.08339875,0.182667542,0.273325,0.392083333,141.3338333
1147,Disappears,Kone EP,Nick Neyland,6.4,2013,April 16 2013,Self-released,Rock,0.820666667,0.688,6.333333333,-11.52633333,0.061266667,0.006331,0.843333333,0.081033333,0.532,126.011
1148,Boy Kill Boy,Civilian,Rachel Khong,5.1,2006,July 10 2006,Interscope,Rock,0.4979,0.5427,6.5,-8.8279,0.03658,0.24862058,0.330803,0.17857,0.25849,121.019
1149,Wye Oak,Civilian,David Bevan,7.9,2011,March 11 2011,Merge,Rock,0.4979,0.5427,6.5,-8.8279,0.03658,0.24862058,0.330803,0.17857,0.25849,121.019
1150,Saturday Looks Good to Me,Fill Up the Room,Liz Colville,7.7,2007,October 31 2007,K,Rock,0.475,0.578272727,6.272727272999999,-9.129727273,0.051236364,0.290436364,0.086243473,0.289681818,0.488090909,127.2068182
1151,Ride,Tomorrow’s Shore EP,Stuart Berman,7.0,2018,February 20 2018,Wichita,Rock,0.5725,0.6787142859999999,5.785714286,-7.585071429,0.045885714,0.404492857,0.0927369,0.184392857,0.586714286,136.6604286
1152,The O’My’s,Tomorrow,Jonah Bromwich,6.4,2018,September 12 2018,Haight Brand,Pop/R&B,0.5725,0.6787142859999999,5.785714286,-7.585071429,0.045885714,0.404492857,0.0927369,0.184392857,0.586714286,136.6604286
1153,Dave Matthews Band,Come Tomorrow,Jason P. Woodbury,5.0,2018,June 16 2018,RCA,Rock,0.5725,0.6787142859999999,5.785714286,-7.585071429,0.045885714,0.404492857,0.0927369,0.184392857,0.586714286,136.6604286
1154,Panda Bear,Buoys,Mark Richardson,7.6,2019,February 12 2019,Domino,Electronic,0.538222222,0.501888889,5.777777778,-7.826888889,0.058355556,0.181566667,0.013785303,0.133277778,0.369222222,113.7887778
1155,Bent Shapes,Feels Weird,Devon Maloney,7.0,2013,August 26 2013,Father/Daughter,Rock,0.544454545,0.769727273,5.363636364,-6.584636364,0.040418182,0.115404345,0.253923855,0.183481818,0.7618181820000001,119.4117273
1156,The-Drum,Contact,Miles Raymer,7.5,2013,July 2 2013,Audraglint,Pop/R&B,0.6509999999999999,0.76,7.0,-3.377,0.054,0.351,0.0,0.151,0.6729999999999999,96.204
1157,Pharmakon,Contact,Marc Masters,7.9,2017,March 30 2017,Sacred Bones,Experimental,0.6509999999999999,0.76,7.0,-3.377,0.054,0.351,0.0,0.151,0.6729999999999999,96.204
1158,The Cardigans,Long Gone Before Daylight,Dan Lett,6.5,2004,June 15 2004,Koch,Rock,0.486,0.470454545,6.090909091,-8.537363636,0.028590909,0.295561182,0.02190398,0.145281818,0.312209091,115.4689091
1159,Chelsea Wolfe,Pain Is Beauty,Jenn Pelly,8.0,2013,September 6 2013,Sargent House,Rock,0.422333333,0.550083333,4.583333333,-9.507166667,0.032883333,0.076273168,0.4946525,0.147683333,0.149808333,101.4291667
1160,La Sera,Sees the Light,Martin Douglas,7.5,2012,April 17 2012,Hardly Art,Rock,0.5337,0.7119,5.4,-6.0079,0.05201,0.25534,0.30028,0.14138,0.43936,129.0002
1161,Damien Jurado,In the Shape of a Storm,Erin Osmon,7.4,2019,April 5 2019,Mama Bird ,Rock,0.5481,0.15262,6.8,-14.3706,0.0542299999999999,0.8979,0.08199921,0.1147,0.2736,117.4299
1162,Metronomy,Love Letters,Nate Patrin,5.2,2014,March 10 2014,Because,Pop/R&B,0.7103,0.42581,4.3,-10.3014,0.03862,0.5315,0.3269349,0.09882,0.25539,122.1456
1163,Ariel Pink's Haunted Graffiti,House Arrest,Adam Moerder,6.2,2006,January 26 2006,Paw Tracks,Experimental,0.7219,0.4944,3.2,-10.322,0.25002,0.32403,0.0,0.14604,0.34233,127.8429
1164,Queen Key,Eat My Pussy Again,Michelle Kim,7.0,2019,May 10 2019,Machine Entertainment Group,Rap,0.7758666670000001,0.662533333,4.866666667,-6.053933333,0.263553333,0.0632826,2.65e-05,0.233513333,0.54502,132.5062
1165,No Bra,Dance and Walk,Stuart Berman,6.8,2007,January 31 2007,Muskel,Electronic,0.6405,0.471166667,4.25,-11.49616667,0.0872,0.411125833,0.5626797579999999,0.110866667,0.3864166670000001,121.81041670000002
1166,Rocky Votolato,Makers,Marc Hogan,4.2,2006,January 29 2006,Barsuk,Rock,0.4705,0.4251666670000001,5.5,-9.268166667,0.030658333,0.598408333,0.075510222,0.162916667,0.352833333,119.6045833
1167,Antony and the Johnsons,Cut the World,Jayson Greene,8.1,2012,August 6 2012,Secretly Canadian,Rock,0.289666667,0.236566667,5.666666667,-13.63025,0.116058333,0.892083333,0.137540333,0.1615,0.186641667,89.33008333
1168,Parts & Labor,Receivers,Jason Crock,8.1,2008,October 22 2008,Jagjaguwar,Experimental,0.27825,0.890375,4.875,-5.4655,0.1298125,0.001163625,0.33219375,0.3772125,0.166375,137.394125
1169,Iamsu!,Sincerely Yours,David Turner,6.0,2014,May 15 2014,HBK Gang,Rap,0.540263158,0.697315789,5.263157895,-6.796210526,0.325631579,0.3969,0.000130454,0.210226316,0.5081473679999999,109.2011053
1170,Whirlwind Heat,Flamingo Honey,Johnny Loftus,2.9,2004,August 31 2004,Dim Mak,Electronic,0.4997,0.72167,5.8,-6.5334,0.08765,0.1143322,0.1942322,0.31166,0.5236,126.8759
1171,Samara Lubelski,Wavelength,Marc Masters,6.9,2012,August 8 2012,De Stijl,Experimental,0.631,0.5760000000000001,6.0,-8.043,0.0356,0.000565,0.794,0.3,0.412,150.062
1172,Belle and Sebastian,The Life Pursuit,Marc Hogan,8.5,2006,February 5 2006,Matador,Rock,0.5511538460000001,0.6966923079999999,6.076923077000001,-6.188615385,0.0425,0.154286923,0.013608197,0.135053846,0.7006923079999999,127.3278462
1173,BARR,Summary,Mark Richardson,5.1,2007,March 5 2007,5RC,Electronic,0.7151111109999999,0.467888889,6.555555556,-8.566777777999999,0.145955556,0.3752222220000001,0.089774624,0.148955556,0.411977778,111.2662222
1174,Red Pill,Instinctive Drowning,Jay Balfour,6.5,2016,August 26 2016,Mello Music Group,Rap,0.5349,0.736,4.9,-8.287,0.34513,0.102717,0.018692336,0.19306,0.4274,98.3537
1175,Paul Haig,Go Out Tonight,Joshua Klein,5.2,2008,June 13 2008,Rhythm of Life,Electronic,0.349,0.605,7.0,-9.036,0.0355,0.00312,0.518,0.298,0.86,215.972
1176,Cooly G,Playin' Me,Nate Patrin,8.0,2012,July 27 2012,Hyperdub,Rap,0.5329999999999999,0.715,11.0,-10.627,0.0528,0.109,0.8390000000000001,0.213,0.0851,104.947
1177,Manic Street Preachers,The Holy Bible,Joe Tangari,8.4,2004,January 17 2005,Epic,Rock,0.43705,0.8704,5.2,-4.958,0.06898,0.007897145,0.08138231,0.23613,0.3489,136.48595
1178,Rogue Wave,Descended Like Vultures,Brian Howe,7.8,2005,October 25 2005,Sub Pop,Experimental,0.369463636,0.594,4.727272727,-9.273090909,0.0384,0.375760909,0.325415455,0.234736364,0.342545455,118.7279091
1179,William Basinski,The Disintegration Loops,Mark Richardson,10.0,2012,November 19 2012,Temporary Residence,Experimental,0.2005,0.1668,2.5,-28.475,0.0372,0.959,0.894,0.0876,0.11345,83.7105
1180,Doomriders,Grand Blood,Andy O'Connor,5.8,2013,October 24 2013,Deathwish,Metal,0.209636364,0.831518182,5.363636364,-7.659363636,0.091363636,3.13e-06,0.8220000000000001,0.321363636,0.241054545,127.1179091
1181,Ewan Pearson,We Are Proud of Our Choices,Jess Harvell,7.0,2009,February 19 2010,Kompakt,Electronic,0.498,0.758,5.0,-5.515,0.0429,0.00171,0.0,0.05,0.451,124.998
1182,Coldplay,X&Y,Joe Tangari,4.9,2005,June 6 2005,Capitol,Rock,0.408461538,0.601846154,5.769230769,-8.260615385,0.036546154,0.163256923,0.015178868,0.220592308,0.216015385,125.9287692
1183,Can,Out of Reach,Mark Richardson,3.7,2003,August 11 2003,EFA Medien,Experimental,0.632,0.634,7.0,-6.769,0.147,0.184,0.122,0.0718,0.0998,97.069
1184,Mark Ronson,Uptown Special,Stuart Berman,6.0,2015,January 21 2015,Sony,Pop/R&B,0.709909091,0.624909091,6.181818182000001,-8.367272727000001,0.044181818,0.177873182,0.0592404,0.113518182,0.611090909,104.5884545
1185,Milosh,Meme,Michael Idov,7.0,2006,April 30 2006,Plug Research,Electronic,0.6409999999999999,0.66,6.0,-5.323,0.459,0.209,0.0,0.0818,0.299,75.792
1186,The Von Bondies,"Love, Hate, and Then There's You",Stuart Berman,5.8,2009,February 5 2009,Majordomo,Electronic,0.469083333,0.926583333,4.916666667,-3.956666667,0.08585,0.042499975,0.014316983,0.246458333,0.464,140.4446667
1187,Boof,The Hydrangeas Whisper,Andy Beta,7.0,2015,May 12 2015,Running Back,Electronic,0.6716,0.6756,4.6,-10.0688,0.07564,0.2213262,0.6652,0.23896,0.3979,121.3179
1188,Simian Mobile Disco,Welcome To Sideways,Cameron Cook,6.8,2016,December 10 2016,Delicacies,Electronic,0.7061,0.6781,6.8,-11.0913,0.08372,0.03413023,0.9067,0.11863,0.24763,124.9316
1189,Grails,Deep Politics,Paul Thompson,7.9,2011,May 4 2011,Temporary Residence,Metal,0.331125,0.413875,5.375,-10.796,0.03525,0.40457,0.864875,0.1103875,0.13255,101.641875
1190,Vatican Shadow,Media in the Service of Terror,Andy O'Connor,7.7,2016,June 20 2016,Hospital Productions,Experimental,0.607,0.704857143,7.857142857,-13.02842857,0.050528571,0.120394,0.860571429,0.115528571,0.198171429,122.5455714
1191,Wild Beasts,Last Night All My Dreams Came True,Sam Sodomsky,6.6,2018,February 21 2018,Domino Documents,Rock,0.5668461539999999,0.704307692,3.384615385,-7.582230769,0.060169231,0.20607,0.129704462,0.154423077,0.4903230770000001,130.6776154
1192,Com Truise,Silicon Tare EP,Marc Hogan,5.9,2016,April 4 2016,Ghostly International,Electronic,0.5888,0.8296,4.6,-7.941,0.03922,0.0737066,0.8128,0.09334,0.49,137.639
1193,Indian,From All Purity,Grayson Haver Currin,8.2,2014,January 23 2014,Relapse,Metal,0.227666667,0.655666667,7.5,-6.831666667,0.065116667,0.00060348,0.5002,0.110433333,0.117083333,108.6401667
1194,Brothomstates,Claro,Paul Cooper,5.2,2001,March 28 2002,Warp,Electronic,0.600166667,0.768166667,3.166666667,-6.596,0.22575,0.443,0.003014568,0.1832,0.6203333329999999,90.36183333
1195,Horseback,Half Blood,Jess Harvell,7.6,2012,May 7 2012,Relapse,Metal,0.474,0.8490000000000001,0.0,-4.518,0.0428,0.000597,6.4e-06,0.172,0.188,112.974
1196,Zomby,One Foot Ahead of the Other,Andrew Gaerig,6.6,2009,August 31 2009,Ramp,Electronic,0.7334444440000001,0.7938888890000001,6.888888889,-10.18755556,0.081711111,0.079457067,0.769222222,0.134044444,0.7415555559999999,138.0255556
1197,Billy Corgan,The Future Embrace,Nick Sylvester,6.4,2005,June 19 2005,Warner Bros.,Rock,0.68125,0.66125,6.125,-9.193125,0.39625,0.4150375,0.0178375,0.160025,0.6935,104.419625
1198,Delicate Steve,Positive Force,Laura Snapes,7.6,2012,August 29 2012,Luaka Bop,Pop/R&B,0.360836364,0.560545455,5.727272727000001,-9.249909091,0.040709091,0.221725727,0.678545455,0.320281818,0.283181818,131.2514545
1199,Frog Eyes,The Bloody Hand,Brandon Stosuy,8.6,2002,May 4 2006,Global Symphonic,Rock,0.200185,0.69225,4.45,-7.66735,0.04613,0.154148055,0.40604608,0.255525,0.24384,113.04875
1200,Franz Ferdinand,Always Ascending,Jazz Monroe,6.9,2018,February 8 2018,Domino,Rock,0.5081,0.7277,3.7,-5.7152,0.10275,0.0376406,0.000382583,0.21989,0.4134,124.588
1201,Safety Scissors,Tainted Lunch,Nitsuh Abebe,8.5,2005,January 15 2006,~scape,Electronic,0.626,0.792583333,5.0,-6.985083333,0.107416667,0.126341667,0.068592575,0.235075,0.481083333,106.1593333
1202,Louis XIV,Illegal Tender EP,Marc Hogan,4.8,2005,March 9 2005,Atlantic,Electronic,0.6025,0.6285,3.5,-9.3835,0.478,0.321,0.0,0.2205,0.905,80.132
1203,Leika,Space on Tuesday,David Raposa,5.3,2011,March 23 2011,Self-released,Pop/R&B,0.581,0.632,4.0,-4.583,0.0297,0.000117,0.841,0.1689999999999999,0.196,121.015
1204,Blondie,Parallel Lines: Deluxe Edition,Scott Plagenhoef,9.7,2008,August 1 2008,Capitol,Rock,0.523833333,0.80075,5.333333333,-5.415166667,0.056466667,0.0707445,0.003383015,0.109916667,0.707916667,139.1990833
1205,Mono,Requiem for Hell,Evan Rytlewski,5.9,2016,October 17 2016,Temporary Residence,Rock,0.2248,0.5214,6.0,-10.6818,0.04412,0.354068,0.7882,0.08934,0.06326,114.4138
1206,Lucero,Nobody's Darlings,Stephen M. Deusner,7.5,2005,June 6 2005,Liberty and Lament,Rock,0.427416667,0.72625,7.333333333,-7.7015,0.040975,0.10131975,0.0804026,0.134591667,0.366,116.17383329999998
1207,Jack DeJohnette,In Movement,Seth Colter Walls,8.3,2016,May 9 2016,ECM,Jazz,0.410625,0.297375,3.875,-18.261875,0.04395,0.6120375,0.67745,0.158225,0.2768,104.281125
1208,Aphex Twin,Collapse EP,Philip Sherburne,8.1,2018,September 17 2018,Warp,Electronic,0.607,0.8064,5.4,-11.0682,0.06666,0.05222,0.823,0.12674,0.2658,152.7326
1209,Generationals,Actor-Caster,Zach Kelly,6.6,2011,March 30 2011,Park the Van,Electronic,0.464181818,0.548909091,6.090909091,-10.276,0.040381818,0.324385455,0.433981818,0.214890909,0.3313,133.9246364
1210,St. Vincent,Actor,Matthew Perpetua,8.5,2009,May 5 2009,4AD,Rock,0.464181818,0.548909091,6.090909091,-10.276,0.040381818,0.324385455,0.433981818,0.214890909,0.3313,133.9246364
1211,Priests,Early Recordings,Quinn Moreland,7.8,2017,May 4 2017,Tough Love,Rock,0.5892,0.6166,5.7,-7.9687,0.04763,0.7441,0.000122899,0.176845,0.87645,113.9458
1212,Quasi,Early Recordings,Matt LeMay,5.2,1996,October 24 2001,Touch and Go,Experimental,0.5892,0.6166,5.7,-7.9687,0.04763,0.7441,0.000122899,0.176845,0.87645,113.9458
1213,Waxahatchee,Early Recordings,Kevin Lozano,7.2,2011,June 15 2016,Merge,Rock,0.5892,0.6166,5.7,-7.9687,0.04763,0.7441,0.000122899,0.176845,0.87645,113.9458
1214,Pinetop Seven,The Night's Bloom,Stephen M. Deusner,8.4,2005,October 27 2005,Empyrean,Rock,0.378615385,0.420230769,6.307692307999999,-10.00638462,0.030992308,0.5872307689999999,0.1723707839999999,0.1381,0.2388,121.9865385
1215,The Fiery Furnaces,Bitter Tea,Mark Richardson,7.6,2006,April 17 2006,Fat Possum,Rock,0.5578,0.5126,4.133333333,-9.331733333,0.075113333,0.33834,0.076005533,0.20462,0.43282,113.79666670000002
1216,Heathered Pearls,Body Complex,Philip Sherburne,6.9,2015,August 10 2015,Ghostly International,Electronic,0.5167,0.5525,5.2,-14.1609,0.09107,0.5689,0.8827,0.10179,0.20238,124.2064
1217,Logic,Bobby Tarantino II,Evan Rytlewski,6.7,2018,March 15 2018,Def Jam,Rap,0.734615385,0.631230769,5.615384615,-7.0581538460000015,0.1815,0.100998462,6.670000000000001e-05,0.119807692,0.463976923,126.6227692
1218,French Montana,Wave Gods,Paul A. Thompson,7.9,2016,February 25 2016,Self-released,Rap,0.7759999999999999,0.511,2.0,-13.08,0.34,0.0116,2.8e-06,0.0601,0.77,79.105
1219,Arthur Russell,Instrumentals,Seth Colter Walls,8.4,2017,April 1 2017,Audika,Experimental,0.498307692,0.458153846,5.846153846,-12.07092308,0.095546154,0.179100769,0.576774077,0.252823077,0.434876923,114.5391538
1220,The Nels Cline Singers,Instrumentals,Brendan Reid,8.0,2002,November 6 2002,Cryptogramophone,Experimental,0.498307692,0.458153846,5.846153846,-12.07092308,0.095546154,0.179100769,0.576774077,0.252823077,0.434876923,114.5391538
1221,Dâm-Funk,Invite the Light,Miles Raymer,7.6,2015,September 1 2015,Stones Throw,Pop/R&B,0.62935,0.6877,4.2,-6.3434,0.13427,0.19204285,0.218811598,0.34864,0.450545,118.25815
1222,Beastie Boys,To the 5 Boroughs,Brent DiCrescenzo,7.9,2004,June 14 2004,Capitol,Rap,0.866866667,0.7914,4.666666667,-7.784533333,0.20622,0.19619,0.000362391,0.208893333,0.666466667,104.1670667
1223,Quakers,Quakers,Nate Patrin,7.1,2012,April 11 2012,Stones Throw,Rap,0.4916,0.8032,6.45,-7.0633,0.202355,0.1775595,0.107368288,0.409915,0.63071,102.9935
1224,Grimes,Visions,Lindsay Zoladz,8.5,2012,February 17 2012,4AD,Pop/R&B,0.50925,0.797166667,4.333333333,-5.114833333,0.051625,0.050843167,0.00010326,0.220958333,0.396191667,119.8705
1225,Run the Jewels,Run the Jewels 3,Sheldon Pearce,8.6,2016,January 3 2017,Self-released,Rap,0.686642857,0.664928571,4.714285714,-7.670928571,0.234957143,0.105507143,0.000111855,0.253371429,0.423071429,116.9287143
1226,British Sea Power,Open Season,Brian Howe,7.8,2005,April 6 2005,Rough Trade,Rock,0.437333333,0.3915,4.083333333,-9.747583333,0.030841667,0.817416667,0.253705833,0.134883333,0.199583333,121.30016670000002
1227,Feist,Open Season,Scott Plagenhoef,6.6,2006,April 24 2006,Arts & Crafts,Rock,0.437333333,0.3915,4.083333333,-9.747583333,0.030841667,0.817416667,0.253705833,0.134883333,0.199583333,121.30016670000002
1228,Gun Outfit,Hard Coming Down,Jenn Pelly,8.0,2013,May 15 2013,PPM,Rock,0.3944166670000001,0.61775,4.0,-7.832333332999999,0.039433333,0.307877417,0.472475833,0.1537,0.27065,122.3320833
1229,Damien Jurado,I Break Chairs,Brad Haywood,7.1,2002,March 20 2002,Sub Pop,Rock,0.477,0.5920000000000001,5.5,-9.239166667,0.041525,0.312675,0.284953606,0.207475,0.3645,128.5431667
1230,Valgeir Sigurðsson,Dissonance,Seth Colter Walls,6.7,2017,April 24 2017,Bedroom Community,Experimental,0.431,0.398444444,4.555555556,-10.63466667,0.0439,0.5702222220000001,0.010609023,0.1947,0.3636666670000001,108.5974444
1231,Cold Beat,Over Me,Paula Mejia,7.6,2014,July 10 2014,Crime on the Moon,Rock,0.592333333,0.673666667,9.0,-5.937666667,0.0837,0.306266667,0.000190333,0.177,0.4,135.239
1232,Blu,Good to Be Home,Nate Patrin,6.5,2014,May 26 2014,Nature Sounds,Rap,0.47955,0.7223,5.2,-6.51065,0.30979,0.07869765,0.091540157,0.27444,0.57294,101.4513
1233,Cerebral Ballzy,Cerebral Ballzy,David Raposa,4.8,2011,September 29 2011,Williams Street,Metal,0.281333333,0.984083333,6.666666667,-4.565,0.200341667,0.001328805,0.002388908,0.244566667,0.348716667,127.9881667
1234,Madonna,The Confessions Tour,Stephen M. Deusner,4.2,2007,February 23 2007,Warner Bros.,Pop/R&B,0.552769231,0.858384615,6.384615385,-6.709384615,0.067846154,0.020646231,0.137099705,0.6886923079999999,0.334538462,123.1777692
1235,Chvrches,The Bones of What You Believe,Larry Fitzmaurice,8.5,2013,September 25 2013,Glassnote,Pop/R&B,0.5419166670000001,0.6745,6.5,-7.586916667000001,0.044008333,0.013791,0.064677298,0.20395,0.35875,126.48625
1236,Mayday,Bushido Karaoke,Brian Howe,7.5,2005,August 30 2005,Saddle Creek,Folk/Country,0.465,0.642571429,5.428571429,-8.638071429,0.061785714,0.291837857,0.022483929,0.196578571,0.524928571,123.0522143
1237,Mogwai,Mr. Beast,Joe Tangari,6.8,2006,March 5 2006,Matador,Rock,0.489,0.0781,2.0,-16.257,0.0425,0.927,0.0,0.375,0.334,80.648
1238,Tyondai Braxton,Central Market,Andy Battaglia,8.0,2009,September 21 2009,Warp,Electronic,0.509428571,0.610285714,3.0,-9.648857143,0.114228571,0.291608357,0.3846328570000001,0.171928571,0.146185714,119.36157140000002
1239,American Analog Set,Set Free,Joe Tangari,6.8,2005,September 19 2005,Arts & Crafts,Rock,0.487,0.663833333,5.083333333,-7.417916667,0.044308333,0.214459583,0.000678345,0.139258333,0.424333333,115.93833329999998
1240,The Men,Campfire Songs EP,Ian Cohen,6.5,2013,October 14 2013,Sacred Bones,Rock,0.37725,0.4375,1.75,-10.12,0.032275,0.569075,0.69825,0.1164,0.18065,114.91925
1241,Stars,The North,Larry Fitzmaurice,6.7,2012,September 4 2012,ATO,Electronic,0.5825,0.2425,5.5,-13.5555,0.037725,0.85275,0.0381925,0.10355,0.396,114.40925
1242,Madlib,Shades of Blue: Madlib Invades Blue Note,Scott Hreha,8.6,2003,August 12 2003,Blue Note,Rap,0.5016875,0.6031875,4.1875,-12.080125,0.2133125,0.4142345,0.327498921,0.3290375,0.5835625,110.0189375
1243,How to Dress Well,Just Once EP,Mark Richardson,7.8,2011,July 26 2011,Love Letters Ink,Pop/R&B,0.6936,0.8926,8.2,-8.151,0.0846,0.05267486,0.89,0.11646,0.2546,131.4002
1244,MS MR,Secondhand Rapture,Laura Snapes,6.0,2013,May 22 2013,Columbia,Electronic,0.585307692,0.626,3.692307692,-8.085384615,0.044153846,0.2799,0.104198758,0.196684615,0.279576923,118.4598462
1245,Art Department,Social Experiment 003,Tim Finney,7.3,2013,March 7 2013,No. 19 Music,Electronic,0.748853333,0.561233333,4.933333333,-11.09593333,0.0609,0.06262776,0.727533333,0.12864,0.48452,124.1358667
1246,Local Natives,Sunlit Youth,Ryan Leas,6.3,2016,September 23 2016,Loma Vista,Rock,0.4851666670000001,0.703333333,5.916666667,-6.10475,0.048633333,0.127306167,0.0381893,0.252916667,0.428833333,113.2320833
1247,Quadron,Avalanche,Andrew Ryce,7.0,2013,June 12 2013,Epic,Rock,0.300071429,0.466571429,3.0,-11.56942857,0.036935714,0.343078936,0.91,0.094892857,0.076914286,102.7547857
1248,Father John Misty,"I Love You, Honeybear",Mike Powell,8.8,2015,February 9 2015,Bella Union,Rock,0.435545455,0.590545455,3.454545455,-7.333090909,0.040918182,0.423850909,0.011320856,0.1673181819999999,0.394545455,134.9347273
1249,Here We Go Magic,Pigeons,Larry Fitzmaurice,7.5,2010,June 7 2010,Secretly Canadian,Rock,0.425909091,0.7211818179999999,3.181818182,-8.237090908999999,0.0452,0.128326836,0.475067155,0.131663636,0.411909091,131.1005455
1250,Lion Babe,Cosmic Wind,Jackson Howard,6.4,2019,March 29 2019,Lion Babe Music LLC,Pop/R&B,0.673666667,0.5649333329999999,6.4,-6.841666667,0.067953333,0.206286667,0.1497778,0.14836,0.4720666670000001,103.4879333
1251,Brad Laner,Nearest Suns,Miles Raymer,6.3,2013,November 14 2013,Hometapes,Rock,0.47975,0.5395833329999999,6.25,-12.96825,0.041275,0.3125035,0.37369275,0.188758333,0.4362916670000001,113.0435
1252,The Pastels,Two Sunsets,Douglas Wolk,6.1,2009,September 21 2009,Domino,Rock,0.431583333,0.319416667,4.416666667,-14.12233333,0.032375,0.8066416670000001,0.459466508,0.1369916669999999,0.442916667,121.48675
1253,Boredoms,Super Roots 1,Dominique Leone,7.6,1993,February 1 2007,WEA,Experimental,0.5291,0.8027,6.1,-7.3122,0.05372,0.1154,0.034678268,0.25901,0.535,120.6315
1254,Boredoms,Super Roots 9,Dominique Leone,6.9,2007,April 10 2007,Commmons,Experimental,0.5291,0.8027,6.1,-7.3122,0.05372,0.1154,0.034678268,0.25901,0.535,120.6315
1255,Drexciya,Journey of the Deep Sea Dweller IV,Andy Beta,7.9,2013,January 6 2014,Clone,Electronic,0.6090625,0.7789375,5.125,-10.5314375,0.07081875,0.053524469,0.5549175000000001,0.11225625,0.50100625,121.6605625
1256,Gabriel Garzón-Montano,Jardín,Elias Leight,7.4,2017,January 20 2017,Stones Throw,Pop/R&B,0.6282,0.32226,5.4,-12.8453,0.09306,0.3996335,0.00568083,0.147,0.3051,98.8896
